  student#    student_arr    curr_arr_time  clerk1_service_begin    clerk1_service    clerk1_service_end    clerk2_service_begin    clerk2_service    clerk2_serivce_end      cashier_service_begin    cashier_service    cashier_service_end    queue_time_clerk    queue_time_cash
----------  -------------  ---------------  ----------------------  ----------------  --------------------  ----------------------  ----------------  --------------------  -----------------------  -----------------  ---------------------  ------------------  -----------------
         1              0                0  -                       -                 -                     0                       11                11                                         11                  7                     18                   0                  0
         2              4                4  4                       11                15                    -                       -                 -                                          18                  7                     25                   0                  3
         3              6               10  -                       -                 -                     11                      10                21                                         25                  7                     32                   1                  4
         4              6               16  16                      11                27                    -                       -                 -                                          32                  6                     38                   0                  5
         5              8               24  -                       -                 -                     24                      9                 33                                         38                  6                     44                   0                  5
         6              7               31  31                      12                43                    -                       -                 -                                          44                  7                     51                   0                  1
         7              5               36  -                       -                 -                     36                      11                47                                         51                  7                     58                   0                  4
         8              5               41  43                      11                54                    -                       -                 -                                          58                  6                     64                   2                  4
         9              7               48  -                       -                 -                     48                      10                58                                         64                  7                     71                   0                  6
        10              4               52  54                      10                64                    -                       -                 -                                          71                  6                     77                   2                  7
        11              8               60  -                       -                 -                     60                      10                70                                         77                  6                     83                   0                  7
        12              8               68  68                      10                78                    -                       -                 -                                          83                  6                     89                   0                  5
        13              7               75  -                       -                 -                     75                      11                86                                         89                  5                     94                   0                  3
        14              7               82  82                      10                92                    -                       -                 -                                          94                  6                    100                   0                  2
        15              7               89  -                       -                 -                     89                      9                 98                                        100                  5                    105                   0                  2
        16              4               93  93                      11                104                   -                       -                 -                                         105                  6                    111                   0                  1
        17              6               99  -                       -                 -                     99                      11                110                                       111                  5                    116                   0                  1
        18              4              103  104                     10                114                   -                       -                 -                                         116                  5                    121                   1                  2
        19              5              108  -                       -                 -                     110                     10                120                                       121                  5                    126                   2                  1
        20              8              116  116                     10                126                   -                       -                 -                                         126                  5                    131                   0                  0
        21              8              124  -                       -                 -                     124                     10                134                                       134                  6                    140                   0                  0
        22              8              132  132                     10                142                   -                       -                 -                                         142                  5                    147                   0                  0
        23              8              140  -                       -                 -                     140                     10                150                                       150                  7                    157                   0                  0
        24              7              147  147                     8                 155                   -                       -                 -                                         157                  7                    164                   0                  2
        25              4              151  -                       -                 -                     151                     11                162                                       164                  6                    170                   0                  2
        26              8              159  159                     12                171                   -                       -                 -                                         171                  6                    177                   0                  0
        27              7              166  -                       -                 -                     166                     9                 175                                       177                  7                    184                   0                  2
        28              8              174  174                     11                185                   -                       -                 -                                         185                  7                    192                   0                  0
        29              6              180  -                       -                 -                     180                     9                 189                                       192                  7                    199                   0                  3
        30              8              188  188                     9                 197                   -                       -                 -                                         199                  6                    205                   0                  2
        31              7              195  -                       -                 -                     195                     9                 204                                       205                  7                    212                   0                  1
        32              6              201  201                     11                212                   -                       -                 -                                         212                  6                    218                   0                  0
        33              7              208  -                       -                 -                     208                     10                218                                       218                  7                    225                   0                  0
        34              4              212  212                     11                223                   -                       -                 -                                         225                  6                    231                   0                  2
        35              4              216  -                       -                 -                     218                     11                229                                       231                  7                    238                   2                  2
        36              7              223  223                     9                 232                   -                       -                 -                                         238                  5                    243                   0                  6
        37              5              228  -                       -                 -                     229                     12                241                                       243                  7                    250                   1                  2
        38              4              232  232                     9                 241                   -                       -                 -                                         250                  5                    255                   0                  9
        39              7              239  -                       -                 -                     241                     12                253                                       255                  6                    261                   2                  2
        40              4              243  243                     10                253                   -                       -                 -                                         261                  7                    268                   0                  8
        41              5              248  -                       -                 -                     253                     11                264                                       268                  5                    273                   5                  4
        42              8              256  256                     10                266                   -                       -                 -                                         273                  7                    280                   0                  7
        43              6              262  -                       -                 -                     264                     9                 273                                       280                  6                    286                   2                  7
        44              4              266  266                     8                 274                   -                       -                 -                                         286                  7                    293                   0                 12
        45              8              274  -                       -                 -                     274                     12                286                                       293                  6                    299                   0                  7
        46              8              282  282                     8                 290                   -                       -                 -                                         299                  6                    305                   0                  9
        47              6              288  -                       -                 -                     288                     10                298                                       305                  7                    312                   0                  7
        48              8              296  296                     12                308                   -                       -                 -                                         312                  6                    318                   0                  4
        49              7              303  -                       -                 -                     303                     8                 311                                       318                  5                    323                   0                  7
        50              5              308  308                     12                320                   -                       -                 -                                         323                  6                    329                   0                  3
        51              8              316  -                       -                 -                     316                     9                 325                                       329                  7                    336                   0                  4
        52              4              320  320                     8                 328                   -                       -                 -                                         336                  5                    341                   0                  8
        53              8              328  -                       -                 -                     328                     12                340                                       341                  7                    348                   0                  1
        54              8              336  336                     8                 344                   -                       -                 -                                         348                  5                    353                   0                  4
        55              6              342  -                       -                 -                     342                     11                353                                       353                  6                    359                   0                  0
        56              6              348  348                     9                 357                   -                       -                 -                                         359                  7                    366                   0                  2
